20000	8354	56053	43947	7776	100000	0	7768	200696	0
40000	4459	30073	69927	4107	69555	30445	3892	200696	0
60000	3181	21602	78398	2820	49176	50824	2660	185414	15282
80000	2537	16764	83236	2159	37054	62946	2008	176369	24327
100000	2145	14337	85663	1769	30159	69841	1618	171467	29229
120000	1893	12734	87266	1526	26531	73469	1372	167323	33373
140000	1705	11299	88701	1343	23215	76785	1196	165511	35185
160000	1563	10465	89535	1201	20323	79677	1043	163922	36774
180000	1443	9695	90305	1090	18476	81524	935	161020	39676
